DATE,VALUE
01/01/2021,305915
01/02/2021,264540
01/03/2021,377989
01/04/2021,282470
01/05/2021,271483
01/06/2021,231268
01/07/2021,288518
01/08/2021,303493
01/09/2021,265880
01/10/2021,320412
01/11/2021,310368
01/12/2021,288631
01/01/2022,326255
01/02/2022,315637
01/03/2022,330482
01/04/2022,290725
01/05/2022,336297
01/06/2022,268587
01/07/2022,306264
01/08/2022,305958
01/09/2022,338439
01/10/2022,306219
01/11/2022,368806
01/12/2022,294650
01/01/2023,359215
01/02/2023,394215
01/03/2023,452270
01/04/2023,260165