Data,Ano,Mes,Receita
01/01/2021,2021,01,305915
01/02/2021,2021,02,264540
01/03/2021,2021,03,377989
01/04/2021,2021,04,282470
01/05/2021,2021,05,271483
01/06/2021,2021,06,231268
01/07/2021,2021,07,288518
01/08/2021,2021,08,303493
01/09/2021,2021,09,265880
01/10/2021,2021,10,320412
01/11/2021,2021,11,310368
01/12/2021,2021,12,288631
01/01/2022,2022,01,326255
01/02/2022,2022,02,315637
01/03/2022,2022,03,330482
01/04/2022,2022,04,290725
01/05/2022,2022,05,336297
01/06/2022,2022,06,268587
01/07/2022,2022,07,306264
01/08/2022,2022,08,305958
01/09/2022,2022,09,338439
01/10/2022,2022,10,306219
01/11/2022,2022,11,368806
01/12/2022,2022,12,294650
01/01/2023,2023,01,359215
01/02/2023,2023,02,394215
01/03/2023,2023,03,452270
01/04/2023,2023,04,260165